Mini Fabrica,Codigo Item,Descricao Item,Tipo Unidade,Codigo Cor,Descricao Cor,Tam,Deve (Abast),Saldo em Casa,Origem do Saldo
Mini Fabrica - 34,202067,TECIDO SUBLIME 160GR+ ESP D26 3MM+ JERSEY,,108934,ALFAZEMA 1497/BRANCO 15/BRANCO 15,,-3.575,0.00000,nacional
Mini Fabrica - 34,202067,TECIDO SUBLIME 160GR+ ESP D26 3MM+ JERSEY,,109367,CAMEL 778/BRANCO 15/BRANCO 15,,-200.975,0.00000,nacional
Mini Fabrica - 38,67244,NAPA TURIM PU 1.0 (B P/V 15/16),,107610,OLIVE 1469,,-0.479,0.00000,nacional
Mini Fabrica - 38,149602,CAMURCA STRECH DUO + VELVET (MD O/I /23),,15787,PRETO 01/PRETO,,-0.846,0.00000,nacional
Mini Fabrica - 38,183344,NAPA GARDA PU 1.0 (V P/V 24/25),,105704,OSTRA 1431,,-4.81,0.00000,nacional
Mini Fabrica - 38,183768,NAPA GARDA PU 1.0 + SARJA 7030/40 0.40,,35324,BRANCO OFF 526/CRU 20,,-2.29,0.00000,nacional
Mini Fabrica - 38,183768,NAPA GARDA PU 1.0 + SARJA 7030/40 0.40,,101602,CHOCOLATE 1271/PRETO 01,,-11.827,0.00000,nacional
Mini Fabrica - 38,196437,NAPA ONCA GRECIA PU 0.9 (B P/V 24/25)+SARJA 7030/50,,96662,MULTI CAMEL 1165/PRETO 01,,-2.892,0.00000,nacional
Mini Fabrica - 40,67345,NAPA TURIM PU 1.0 + SARJA 7030/40 0.40,,101602,CHOCOLATE 1271/PRETO 01,,-0.26,0.00000,nacional
Mini Fabrica - 40,73034,NAPA TURIM PU 1.0 (B P/V 15/16)+BASE FLEX 1.0,,101646,CHOCOLATE 1271/PRETO,,-0.828,0.00000,nacional
Mini Fabrica - 40,82290,GLITER MINI SHINE(M/MK O/I 17),,41,PRATA,,-4.66,0.00000,nacional
Mini Fabrica - 40,82290,GLITER MINI SHINE(M/MK O/I 17),,66,DOURADO,,-0.824,0.00000,nacional
Mini Fabrica - 40,82290,GLITER MINI SHINE(M/MK O/I 17),,23146,OURO ROSADO,,-22.689,0.00000,nacional
Mini Fabrica - 40,108850,NAPA PELE STRECH PU 1.0 (MD O/I 2019),,83517,CREME 985,,-0.299,0.00000,nacional
Mini Fabrica - 40,108850,NAPA PELE STRECH PU 1.0 (MD O/I 2019),,103102,CHERRY 1335,,-0.299,0.00000,nacional
Mini Fabrica - 40,183344,NAPA GARDA PU 1.0 (V P/V 24/25),,105704,OSTRA 1431,,-3.48,0.00000,nacional
