Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 9;128939;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40;;73437;CAFE 856/PRETO 01;;-0,862;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 9;128939;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21) + SARJA 7030/40;;84042;CREME 985/CRU 20;;-21,72;21,72;49,0;21,72;0,0;100,0;nacional
Mini Fabrica - 9;138672;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET;;36126;BRANCO OFF 526/CREME 516;;-19,003;19,003;0,0;0,0;19,003;0,0;nacional
Mini Fabrica - 9;138672;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET;;100604;AVELA 1248/CREME 516;;-80,462;80,462;256,0;80,462;0,0;100,0;nacional
Mini Fabrica - 9;138672;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET;;104327;VERDE SALVIA 1401/CREME 516;;-6,344;6,344;29,0;6,344;0,0;100,0;nacional
Mini Fabrica - 9;138672;NAPA FLOATHER NATURE PU 1.0 (MD P/V 20/21)+VELVET;;108448;ALECRIM 1491/CREME 516;;-0,049;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 9;143760;METALIZADO LONDON PU 0.9+BASE FLEX;;15787;PRETO 01/PRETO;;-0,086;1,0;12,3;1,0;0,0;100,0;nacional
Mini Fabrica - 9;155239;NOBUCK NEW PU 0.8 NOSSA BASE(P/V 09/10)+SARJA 7030;;15758;PRETO 01/PRETO 01;;-13,464;13,464;0,0;0,0;13,464;0,0;nacional
Mini Fabrica - 9;168873;NAPA CALF PU 0.9 ( P/V 24/25);;15745;PRETO 01;;-110,314;110,314;0,0;0,0;110,314;0,0;nacional
Mini Fabrica - 9;168873;NAPA CALF PU 0.9 ( P/V 24/25);;100983;VERDE LUNA 1256;;-46,882;46,882;26,5;26,5;20,381999999999998;56,52489228275245;nacional
Mini Fabrica - 9;168873;NAPA CALF PU 0.9 ( P/V 24/25);;102051;AREIA 1286;;-100,434;100,434;0,0;0,0;100,434;0,0;nacional
Mini Fabrica - 9;168873;NAPA CALF PU 0.9 ( P/V 24/25);;104068;MOCCA 1398;;-14,506;14,506;0,0;0,0;14,506;0,0;nacional
Mini Fabrica - 9;169103;NAPA CALF PU 0.9 (V P/V 24/25)+POLINYLON 11HML 2L+FORRO;;102219;AREIA 1286/BRANCO;;-3,942;3,942;21,8;3,942;0,0;100,0;nacional
Mini Fabrica - 9;192622;METALIZADO MILANO PU 0.9 (V O/I 25/26);;41;PRATA;;-4,183;4,183;16,0;4,183;0,0;100,0;nacional
Mini Fabrica - 9;192622;METALIZADO MILANO PU 0.9 (V O/I 25/26);;66;DOURADO;;-20,471;20,471;0,0;0,0;20,471;0,0;nacional
Mini Fabrica - 9;192801;BRILHO ITALIA PU 0.9 (P/V 25/26);;23146;OURO ROSADO;;-43,404;43,404;0,0;0,0;43,404;0,0;nacional
Mini Fabrica - 9;196639;NAPA VELUNA 0.9 (MD O/I 26) - IMPORTADO+ SARJA 7030/40;;15758;PRETO 01/PRETO 01;;-3,534;3,534;0,0;0,0;3,534;0,0;nacional
Mini Fabrica - 9;196639;NAPA VELUNA 0.9 (MD O/I 26) - IMPORTADO+ SARJA 7030/40;;106878;CHOCOLATE 1456/PRETO 01;;-94,674;94,674;128,0;94,674;0,0;100,0;nacional
Mini Fabrica - 9;196770;NAPA ONCA GRECIA PU 0.9 (B P/V 24/25);;96942;MULTI CAMEL 1165;;-7,386;7,386;42,0;7,386;0,0;100,0;nacional
Mini Fabrica - 9;197280;CAMURCAO LONDON PU 1.2 (V O/I 25) -IMPORTADO.;;101439;CACAU 1277;;-9,387;9,387;0,0;0,0;9,387;0,0;nacional
Mini Fabrica - 9;197280;CAMURCAO LONDON PU 1.2 (V O/I 25) -IMPORTADO.;;106596;CARAMELO 1450;;-14,856;14,856;0,0;0,0;14,856;0,0;nacional
Mini Fabrica - 10;25567;AVESSO VELUR;;3;PRETO;;-22,892;22,892;0,0;0,0;22,892;0,0;nacional
Mini Fabrica - 10;25567;AVESSO VELUR;;35313;CREME 516;;-0,229;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 10;56427;PELICA PU 1.0 (V O/I 2014);;15745;PRETO 01;;-50,19;50,19;0,0;0,0;50,19;0,0;nacional
Mini Fabrica - 10;56427;PELICA PU 1.0 (V O/I 2014);;83508;CAFE 987;;-8,25;8,25;40,0;8,25;0,0;100,0;nacional
Mini Fabrica - 10;58623;FORRO MILANO PU 0.7(B O/I 2014)+FILME TPU SC 50;;15745;PRETO 01;;-8,905;8,905;44,0;8,905;0,0;100,0;nacional
Mini Fabrica - 10;58702;FORRO CACHAREL CONFORT(MD O/I 2014)+ESP.PU2,5 D30+SPO40GR ANTI- MICROBI;;29452;BEGE 435;;-24,672;24,672;288,8;24,672;0,0;100,0;nacional
Mini Fabrica - 10;59009;NAPA SENSE FLEX PU 0.9 (I/2012)+SARJA 7030 0.40;;15758;PRETO 01/PRETO 01;;-98,951;98,951;0,0;0,0;98,951;0,0;nacional
Mini Fabrica - 10;70727;CAMURCAO PU 1.2 (M O/I 2016);;15745;PRETO 01;;-14,514;14,514;0,0;0,0;14,514;0,0;nacional
Mini Fabrica - 10;70727;CAMURCAO PU 1.2 (M O/I 2016);;35312;BRANCO OFF 526;;-3,002;3,002;25,0;3,002;0,0;100,0;nacional
Mini Fabrica - 10;70727;CAMURCAO PU 1.2 (M O/I 2016);;93249;AREIA 1137;;-0,387;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 10;74934;NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7;;100874;CAMEL 1165/BRANCO 15/CAMEL 1165;;-1,472;1,472;12,0;1,472;0,0;100,0;nacional
Mini Fabrica - 10;74934;NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7;;107650;OSTRA 1431/BRANCO 15/OSTRA 1431;;-0,491;1,0;0,0;0,0;1,0;0,0;nacional
Mini Fabrica - 10;74934;NAPA TURIM PU 1.0 + POLINYLON 11HM 2 L+FORRO MILANO PU 0.7;;109002;CHOCOLATE 1271/PRETO 01/CHOCOLATE 1271;;-0,491;1,0;15,8;1,0;0,0;100,0;nacional
Mini Fabrica - 10;80451;CAMURCAO PU 1.2 (M O/I 2016)+FILME SC 50;;15745;PRETO 01;;-96,874;96,874;30,0;30,0;66,874;30,96806160579722;nacional
Mini Fabrica - 10;80451;CAMURCAO PU 1.2 (M O/I 2016)+FILME SC 50;;93249;AREIA 1137;;-54,206;54,206;50,0;50,0;4,206000000000003;92,240711360366;nacional
Mini Fabrica - 10;81298;NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17);;15745;PRETO 01;;-5,082;5,082;0,0;0,0;5,082;0,0;nacional
Mini Fabrica - 10;81298;NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17);;93249;AREIA 1137;;-4,095;4,095;0,0;0,0;4,095;0,0;nacional
Mini Fabrica - 10;81554;NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17)+VELVET 0.50;;15787;PRETO 01/PRETO;;-11,416;11,416;0,0;0,0;11,416;0,0;nacional
Mini Fabrica - 10;81554;NAPA FLOTER RUSTICO NEO 1.4(MLK O/I 17)+VELVET 0.50;;93868;BRANCO OFF 1132/CREME 516;;-8,16;8,16;11,1;8,16;0,0;100,0;nacional
Mini Fabrica - 10;92871;MALHA ADTERM MA 140P CONFORFLEX 650C;;15745;PRETO 01;;-45,174;45,174;0,0;0,0;45,174;0,0;nacional
Mini Fabrica - 10;108850;NAPA PELE STRECH PU 1.0 (MD O/I 2019);;95669;CARAMELO 1170;;-1,22;1,22;53,5;1,22;0,0;100,0;nacional
Mini Fabrica - 10;112008;NAPA PELE STRECH PU 1.0 (MD O/I 2019)+SARJA 7030/40;;90037;TAN 1080/CRU 20;;-23,541;23,541;30,0;23,541;0,0;100,0;nacional
