Mini Fabrica;Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Deve (Abast);Necessidade (Min 1m);Saldo em Casa;Coberto Estimado;Falta Estimada;Cobertura (%);Origem do Saldo
Mini Fabrica - 26;73034;NAPA TURIM PU 1.0 (B P/V 15/16)+BAS;;96142;CAMEL 1165/BIS;;-31,9312;31,9312;58,5;31,9312;0,0;100,0;nacional
Mini Fabrica - 26;74934;NAPA TURIM PU 1.0 + POLINYLON 11H;;16143;PRETO 01/PRET;;-1,5512;1,5512;2,0;1,5512;0,0;100,0;nacional
Mini Fabrica - 26;74934;NAPA TURIM PU 1.0 + POLINYLON 11H;;40278;BRANCO OFF;;-3,5624;3,5624;18,6;3,5624;0,0;100,0;nacional
Mini Fabrica - 26;74934;NAPA TURIM PU 1.0 + POLINYLON 11H;;101878;CHOCOLATE;;-5,7912;5,7912;19,0;5,7912;0,0;100,0;nacional
Mini Fabrica - 26;97488;PANO COURACA P/ REFORCO TX 007;;1;BRANCO;;-61,7944;61,7944;62,0;61,7944;0,0;100,0;nacional
Mini Fabrica - 26;128939;NAPA FLOATHER NATURE PU 1.0 (M;;15758;PRETO 01/PRET;;-8,84294;8,84294;45,0;8,84294;0,0;100,0;nacional
Mini Fabrica - 26;128939;NAPA FLOATHER NATURE PU 1.0 (M;;52568;NUDE 658/CRU;;-6,49172;6,49172;30,0;6,49172;0,0;100,0;nacional
Mini Fabrica - 26;128939;NAPA FLOATHER NATURE PU 1.0 (M;;100769;AVELA 1248/C;;-0,9812;1,0;55,0;1,0;0,0;100,0;nacional
Mini Fabrica - 26;143760;METALIZADO LONDON PU 0.9+BASE;;15787;PRETO 01/PRET;;-0,672;1,0;12,3;1,0;0,0;100,0;nacional
Mini Fabrica - 26;185735;NAPA RELAX PU 2.0 (MD O/I 25) -IM;;15745;PRETO 01;;-1,6365;1,6365;22,0;1,6365;0,0;100,0;nacional
Mini Fabrica - 26;185735;NAPA RELAX PU 2.0 (MD O/I 25) -IM;;52531;NUDE 658;;-8,3156;8,3156;25,0;8,3156;0,0;100,0;nacional
